,estado,municipio,casosAcumulado,obitosAcumulado
302559,BA,Aracatu,1483,23
302719,BA,Araçás,1080,16
302879,BA,Araci,4787,64
303039,BA,Aramari,1075,15
303199,BA,Arataca,968,17
303359,BA,Aratuípe,1224,15
303519,BA,Aurelino Leal,1387,41
303679,BA,Baianópolis,1387,26
303839,BA,Baixa Grande,1508,28
303999,BA,Banzaê,1497,14
304159,BA,Barra,3677,72
304319,BA,Barra da Estiva,4014,39
304479,BA,Barra do Choça,3038,47
304639,BA,Barra do Mendes,1680,24
304799,BA,Barra do Rocha,825,8
304959,BA,Barreiras,26928,357
305119,BA,Barro Alto,1372,17
305279,BA,Barrocas,1185,30
305439,BA,Barro Preto,780,15
305599,BA,Belmonte,1898,33
305759,BA,Belo Campo,1325,22
305919,BA,Biritinga,1162,13
306079,BA,Boa Nova,1382,23
306239,BA,Boa Vista do Tupim,322,15
306399,BA,Bom Jesus da Lapa,8769,111
306559,BA,Bom Jesus da Serra,712,13
306719,BA,Boninal,1216,11
306879,BA,Bonito,1751,18
307039,BA,Boquira,1173,28
307199,BA,Botuporã,1214,8
307359,BA,Brejões,1490,20
307519,BA,Brejolândia,441,13
307679,BA,Brotas de Macaúbas,692,9
307839,BA,Brumado,12019,211
307999,BA,Buerarema,1763,53
308159,BA,Buritirama,1612,29
308319,BA,Caatiba,1044,17
308479,BA,Cabaceiras do Paraguaçu,1707,8
308639,BA,Cachoeira,3502,34
308799,BA,Caculé,3592,33
308959,BA,Caém,1169,10
309119,BA,Caetanos,844,14
309279,BA,Caetité,7427,60
309439,BA,Cafarnaum,1333,24
309599,BA,Cairu,2065,19
309759,BA,Caldeirão Grande,763,7
309919,BA,Camacan,3985,102
310079,BA,Camaçari,35625,702
310239,BA,Camamu,3382,67
310399,BA,Campo Alegre de Lourdes,1326,40
310559,BA,Campo Formoso,6911,85
310719,BA,Canápolis,964,10
310879,BA,Canarana,1855,46
311039,BA,Canavieiras,1762,91
311199,BA,Candeal,874,7
311359,BA,Candeias,11324,210
311519,BA,Candiba,1463,21
311679,BA,Cândido Sales,2508,61
311839,BA,Cansanção,2275,48
311999,BA,Canudos,1184,19
312159,BA,Capela do Alto Alegre,1625,23
312319,BA,Capim Grosso,4227,41
312479,BA,Caraíbas,716,9
312639,BA,Caravelas,2425,18
312799,BA,Cardeal da Silva,738,8
312959,BA,Carinhanha,1816,35
