,estado,municipio,casosAcumulado,obitosAcumulado
392639,MG,Catuji,842,9
392799,MG,Catuti,534,5
392959,MG,Caxambu,4325,72
393119,MG,Cedro do Abaeté,174,1
393279,MG,Central de Minas,887,44
393439,MG,Centralina,2057,54
393599,MG,Chácara,270,13
393759,MG,Chalé,1573,13
393919,MG,Chapada do Norte,825,3
394079,MG,Chapada Gaúcha,2325,23
394239,MG,Chiador,616,9
394399,MG,Cipotânea,1036,26
394559,MG,Claraval,1107,4
394719,MG,Claro dos Poções,1352,12
394879,MG,Cláudio,4283,74
395039,MG,Coimbra,1040,13
395199,MG,Coluna,989,12
395359,MG,Comendador Gomes,620,5
395519,MG,Comercinho,596,6
395679,MG,Conceição da Aparecida,1727,14
395839,MG,Conceição das Pedras,427,5
395999,MG,Conceição das Alagoas,6459,158
396159,MG,Conceição de Ipanema,712,5
396319,MG,Conceição do Mato Dentro,4861,39
396479,MG,Conceição do Pará,753,11
396639,MG,Conceição do Rio Verde,2538,34
396799,MG,Conceição dos Ouros,1872,40
396959,MG,Cônego Marinho,386,4
397119,MG,Confins,559,20
397279,MG,Congonhal,2997,34
397439,MG,Congonhas,12755,119
397599,MG,Congonhas do Norte,398,5
397759,MG,Conquista,2396,21
397919,MG,Conselheiro Lafaiete,27447,331
398079,MG,Conselheiro Pena,3763,74
398239,MG,Consolação,553,5
398399,MG,Contagem,90281,2234
398559,MG,Coqueiral,1646,29
398719,MG,Coração de Jesus,2308,25
398879,MG,Cordisburgo,414,21
399039,MG,Cordislândia,632,4
399199,MG,Corinto,3303,66
399359,MG,Coroaci,1085,21
399519,MG,Coromandel,6779,100
399679,MG,Coronel Fabriciano,21782,389
399839,MG,Coronel Murta,822,10
399999,MG,Coronel Pacheco,222,10
400159,MG,Coronel Xavier Chaves,1060,4
400319,MG,Córrego Danta,493,10
400479,MG,Córrego do Bom Jesus,1362,8
400639,MG,Córrego Fundo,1980,13
400799,MG,Córrego Novo,405,14
400959,MG,Couto de Magalhães de Minas,309,7
401119,MG,Crisólita,419,3
401279,MG,Cristais,2752,34
401439,MG,Cristália,592,3
401599,MG,Cristiano Otoni,815,21
401759,MG,Cristina,1719,11
401919,MG,Crucilândia,1503,12
402079,MG,Cruzeiro da Fortaleza,1055,8
402239,MG,Cruzília,3335,55
402399,MG,Cuparaque,1067,18
402559,MG,Curral de Dentro,1110,19
402719,MG,Curvelo,9360,312
402879,MG,Datas,1169,17
403039,MG,Delfim Moreira,993,34
403199,MG,Delfinópolis,2123,16
403359,MG,Delta,2440,34
403519,MG,Descoberto,363,13
403679,MG,Desterro de Entre Rios,2000,17
403839,MG,Desterro do Melo,690,3
403999,MG,Diamantina,10716,108
404159,MG,Diogo de Vasconcelos,313,1
404319,MG,Dionísio,752,21
404479,MG,Divinésia,969,13
404639,MG,Divino,2579,48
404799,MG,Divino das Laranjeiras,518,17
404959,MG,Divinolândia de Minas,610,17
405119,MG,Divinópolis,46006,768
405279,MG,Divisa Alegre,873,9
405439,MG,Divisa Nova,1268,15
405599,MG,Divisópolis,1119,7
405759,MG,Dom Bosco,914,9
405919,MG,Dom Cavati,1003,27
406079,MG,Dom Joaquim,848,7
406239,MG,Dom Silvério,1034,19
406399,MG,Dom Viçoso,745,8
406559,MG,Dona Euzébia,1975,22
406719,MG,Dores de Campos,2162,38
406879,MG,Dores de Guanhães,839,10
407039,MG,Dores do Indaiá,2525,29
407199,MG,Dores do Turvo,468,19
407359,MG,Doresópolis,352,1
407519,MG,Douradoquara,753,4
407679,MG,Durandé,1899,15
407839,MG,Elói Mendes,6089,67
407999,MG,Engenheiro Caldas,1406,36
408159,MG,Engenheiro Navarro,439,11
408319,MG,Entre Folhas,1020,19
408479,MG,Entre Rios de Minas,2360,29
408639,MG,Ervália,3468,42
408799,MG,Esmeraldas,5627,189
408959,MG,Espera Feliz,3866,55
409119,MG,Espinosa,3316,50
409279,MG,Espírito Santo do Dourado,1369,19
409439,MG,Estiva,3665,32
409599,MG,Estrela Dalva,768,9
409759,MG,Estrela do Indaiá,491,1
409919,MG,Estrela do Sul,1628,30
410079,MG,Eugenópolis,2121,25
410239,MG,Ewbank da Câmara,388,16
410399,MG,Extrema,19781,148
410559,MG,Fama,816,1
410719,MG,Faria Lemos,648,6
410879,MG,Felício dos Santos,476,6
411039,MG,São Gonçalo do Rio Preto,754,5
411199,MG,Felisburgo,1863,19
411359,MG,Felixlândia,3294,38
411519,MG,Fernandes Tourinho,477,20
411679,MG,Ferros,821,17
411839,MG,Fervedouro,1644,20
411999,MG,Florestal,288,15
412159,MG,Formiga,25729,339
412319,MG,Formoso,621,11
412479,MG,Fortaleza de Minas,1091,11
412639,MG,Fortuna de Minas,327,3
412799,MG,Francisco Badaró,308,7
412959,MG,Francisco Dumont,372,7
413119,MG,Francisco Sá,1615,49
413279,MG,Franciscópolis,641,3
413439,MG,Frei Gaspar,957,16
413599,MG,Frei Inocêncio,1196,35
413759,MG,Frei Lagonegro,289,5
413919,MG,Fronteira,4245,70
414079,MG,Fronteira dos Vales,1018,12
414239,MG,Fruta de Leite,376,3
414399,MG,Frutal,18352,318
414559,MG,Funilândia,662,12
414719,MG,Galiléia,1240,34
414879,MG,Gameleiras,649,4
415039,MG,Glaucilândia,460,7
415199,MG,Goiabeira,669,10
415359,MG,Goianá,910,8
415519,MG,Gonçalves,1288,10
415679,MG,Gonzaga,671,18
415839,MG,Gouveia,1318,35
415999,MG,Governador Valadares,56400,1538
416159,MG,Grão Mogol,1530,13
416319,MG,Grupiara,731,6
416479,MG,Guanhães,5379,62
416639,MG,Guapé,3054,52
416799,MG,Guaraciaba,1225,36
416959,MG,Guaraciama,502,7
417119,MG,Guaranésia,6371,57
417279,MG,Guarani,1457,13
417439,MG,Guarará,1376,19
417599,MG,Guarda-Mor,2220,14
417759,MG,Guaxupé,18437,200
417919,MG,Guidoval,1412,24
418079,MG,Guimarânia,1831,17
418239,MG,Guiricema,2317,42
418399,MG,Gurinhatã,1385,7
418559,MG,Heliodora,1415,20
418719,MG,Iapu,1953,37
418879,MG,Ibertioga,829,16
419039,MG,Ibiá,5902,73
419199,MG,Ibiaí,1047,12
419359,MG,Ibiracatu,293,3
419519,MG,Ibiraci,2250,31
419679,MG,Ibirité,17255,458
419839,MG,Ibitiúra de Minas,1228,7
419999,MG,Ibituruna,744,1
420159,MG,Icaraí de Minas,865,6
420319,MG,Igarapé,6286,120
420479,MG,Igaratinga,2451,17
420639,MG,Iguatama,1758,17
420799,MG,Ijaci,1185,21
420959,MG,Ilicínea,3022,33
421119,MG,Imbé de Minas,790,12
421279,MG,Inconfidentes,2087,12
421439,MG,Indaiabira,502,1
421599,MG,Indianópolis,1606,9
421759,MG,Ingaí,405,8
421919,MG,Inhapim,3298,78
422079,MG,Inhaúma,1056,21
422239,MG,Inimutaba,1304,22
422399,MG,Ipaba,2185,67
422559,MG,Ipanema,4183,88
422719,MG,Ipatinga,52969,1005
422879,MG,Ipiaçu,1534,21
423039,MG,Ipuiúna,2751,47
423199,MG,Iraí de Minas,911,16
423359,MG,Itabira,35443,423
423519,MG,Itabirinha,1646,58
423679,MG,Itabirito,20339,186
423839,MG,Itacambira,677,4
423999,MG,Itacarambi,1115,23
424159,MG,Itaguara,4955,41
424319,MG,Itaipé,621,8
424479,MG,Itajubá,25378,492
424639,MG,Itamarandiba,7852,34
424799,MG,Itamarati de Minas,1258,8
424959,MG,Itambacuri,1830,35
425119,MG,Itambé do Mato Dentro,110,5
425279,MG,Itamogi,3217,57
425439,MG,Itamonte,3756,51
425599,MG,Itanhandu,4938,64
425759,MG,Itanhomi,2301,34
425919,MG,Itaobim,2872,60
426079,MG,Itapagipe,5423,66
426239,MG,Itapecerica,4876,53
426399,MG,Itapeva,2865,41
426559,MG,Itatiaiuçu,2328,36
426719,MG,Itaú de Minas,5974,56
426879,MG,Itaúna,25012,314
427039,MG,Itaverava,538,3
427199,MG,Itinga,951,18
427359,MG,Itueta,1742,10
427519,MG,Ituiutaba,41848,549
427679,MG,Itumirim,675,13
427839,MG,Iturama,13593,268
427999,MG,Itutinga,627,5
428159,MG,Jaboticatubas,4469,56
428319,MG,Jacinto,1599,19
428479,MG,Jacuí,1871,46
428639,MG,Jacutinga,4644,62
428799,MG,Jaguaraçu,907,13
428959,MG,Jaíba,4899,79
429119,MG,Jampruca,453,8
429279,MG,Janaúba,10434,157
429439,MG,Januária,5912,111
429599,MG,Japaraíba,1218,8
429759,MG,Japonvar,794,10
429919,MG,Jeceaba,901,15
430079,MG,Jenipapo de Minas,600,9
430239,MG,Jequeri,1111,30
430399,MG,Jequitaí,732,12
430559,MG,Jequitibá,934,10
430719,MG,Jequitinhonha,3917,23
430879,MG,Jesuânia,1016,10
431039,MG,Joaíma,1231,47
431199,MG,Joanésia,676,18
431359,MG,João Monlevade,17150,285
431519,MG,João Pinheiro,9055,125
431679,MG,Joaquim Felício,757,4
431839,MG,Jordânia,1453,15
431999,MG,José Gonçalves de Minas,321,1
432159,MG,José Raydan,628,3
432319,MG,Josenópolis,656,3
432479,MG,Nova União,1162,11
432639,MG,Juatuba,4620,90
432799,MG,Juiz de Fora,75540,2419
432959,MG,Juramento,377,4
433119,MG,Juruaia,3187,30
433279,MG,Juvenília,1010,6
433439,MG,Ladainha,599,12
433599,MG,Lagamar,1242,16
433759,MG,Lagoa da Prata,15541,185
433919,MG,Lagoa dos Patos,281,2
434079,MG,Lagoa Dourada,2125,15
434239,MG,Lagoa Formosa,4448,74
434399,MG,Lagoa Grande,2315,35
434559,MG,Lagoa Santa,13744,153
434719,MG,Lajinha,3729,51
434879,MG,Lambari,4853,63
435039,MG,Lamim,639,7
435199,MG,Laranjal,1744,31
435359,MG,Lassance,1260,7
435519,MG,Lavras,32960,216
435679,MG,Leandro Ferreira,537,7
435839,MG,Leme do Prado,609,4
435999,MG,Leopoldina,13967,215
436159,MG,Liberdade,263,12
436319,MG,Lima Duarte,2965,61
436479,MG,Limeira do Oeste,2812,38
436639,MG,Lontra,995,13
436799,MG,Luisburgo,740,19
436959,MG,Luislândia,428,4
437119,MG,Luminárias,805,15
437279,MG,Luz,6264,43
437439,MG,Machacalis,837,14
437599,MG,Machado,11035,118
437759,MG,Madre de Deus de Minas,1228,18
437919,MG,Malacacheta,2085,30
438079,MG,Mamonas,724,8
438239,MG,Manga,2052,23
438399,MG,Manhuaçu,11319,265
438559,MG,Manhumirim,3692,58
438719,MG,Mantena,4606,110
438879,MG,Maravilhas,1275,7
439039,MG,Mar de Espanha,2780,46
439199,MG,Maria da Fé,3223,53
439359,MG,Mariana,18307,120
439519,MG,Marilac,666,15
439679,MG,Mário Campos,1694,61
439839,MG,Maripá de Minas,1022,16
439999,MG,Marliéria,689,20
440159,MG,Marmelópolis,569,12
440319,MG,Martinho Campos,3335,53
440479,MG,Martins Soares,733,15
440639,MG,Mata Verde,824,10
440799,MG,Materlândia,238,2
440959,MG,Mateus Leme,10152,105
441119,MG,Matias Barbosa,4007,67
441279,MG,Matias Cardoso,647,12
441439,MG,Matipó,2878,48
441599,MG,Mato Verde,2138,18
441759,MG,Matozinhos,9596,127
441919,MG,Matutina,594,8
442079,MG,Medeiros,495,2
442239,MG,Medina,1993,37
442399,MG,Mendes Pimentel,1299,12
442559,MG,Mercês,465,22
442719,MG,Mesquita,623,12
442879,MG,Minas Novas,1913,27
443039,MG,Minduri,546,11
443199,MG,Mirabela,1967,22
443359,MG,Miradouro,1485,15
443519,MG,Miraí,3004,21
443679,MG,Miravânia,312,2
443839,MG,Moeda,415,15
443999,MG,Moema,2057,15
444159,MG,Monjolos,67,3
444319,MG,Monsenhor Paulo,1933,10
444479,MG,Montalvânia,2365,24
444639,MG,Monte Alegre de Minas,3171,47
444799,MG,Monte Azul,2681,39
444959,MG,Monte Belo,3003,43
445119,MG,Monte Carmelo,13199,217
445279,MG,Monte Formoso,391,8
445439,MG,Monte Santo de Minas,5729,80
445599,MG,Montes Claros,97908,1096
445759,MG,Monte Sião,7353,46
445919,MG,Montezuma,738,6
446079,MG,Morada Nova de Minas,1958,12
446239,MG,Morro da Garça,324,10
446399,MG,Morro do Pilar,199,5
446559,MG,Munhoz,1140,17
446719,MG,Muriaé,18347,383
446879,MG,Mutum,4142,53
447039,MG,Muzambinho,6923,55
447199,MG,Nacip Raydan,580,10
447359,MG,Nanuque,8043,140
447519,MG,Naque,890,27
447679,MG,Natalândia,708,9
447839,MG,Natércia,1220,9
447999,MG,Nazareno,1158,16
448159,MG,Nepomuceno,5763,60
448319,MG,Ninheira,1092,9
448479,MG,Nova Belém,704,19
448639,MG,Nova Era,4851,62
448799,MG,Nova Lima,38913,288
448959,MG,Nova Módica,624,17
449119,MG,Nova Ponte,3284,41
449279,MG,Nova Porteirinha,897,13
449439,MG,Nova Resende,4072,36
449599,MG,Nova Serrana,9980,249
449759,MG,Novo Cruzeiro,2225,38
449919,MG,Novo Oriente de Minas,895,20
450079,MG,Novorizonte,527,5
450239,MG,Olaria,162,4
450399,MG,Olhos-d'Água,388,6
450559,MG,Olímpio Noronha,600,4
450719,MG,Oliveira,6247,90
450879,MG,Oliveira Fortes,272,4
451039,MG,Onça de Pitangui,431,6
451199,MG,Oratórios,509,14
451359,MG,Orizânia,813,15
451519,MG,Ouro Branco,9618,70
451679,MG,Ouro Fino,8286,88
451839,MG,Ouro Preto,12850,149
451999,MG,Ouro Verde de Minas,500,9
452159,MG,Padre Carvalho,653,9
452319,MG,Padre Paraíso,1577,30
452479,MG,Paineiras,691,7
452639,MG,Pains,1855,11
452799,MG,Pai Pedro,405,5
452959,MG,Paiva,406,4
453119,MG,Palma,1171,17
453279,MG,Palmópolis,556,13
453439,MG,Papagaios,3527,25
453599,MG,Paracatu,17487,298
453759,MG,Pará de Minas,19464,304
453919,MG,Paraguaçu,7455,61
454079,MG,Paraisópolis,5089,71
454239,MG,Paraopeba,4347,42
454399,MG,Passabém,191,6
454559,MG,Passa Quatro,3597,55
454719,MG,Passa Tempo,1058,14
454879,MG,Passa Vinte,267,7
455039,MG,Passos,30357,409
455199,MG,Patis,471,0
455359,MG,Patos de Minas,40333,679
455519,MG,Patrocínio,17984,279
455679,MG,Patrocínio do Muriaé,622,12
455839,MG,Paula Cândido,1494,12
455999,MG,Paulistas,1161,5
456159,MG,Pavão,1129,12
456319,MG,Peçanha,1780,31
456479,MG,Pedra Azul,2494,49
456639,MG,Pedra Bonita,748,9
456799,MG,Pedra do Anta,493,7
456959,MG,Pedra do Indaiá,954,8
457119,MG,Pedra Dourada,469,3
457279,MG,Pedralva,2012,20
457439,MG,Pedras de Maria da Cruz,194,16
457599,MG,Pedrinópolis,995,12
457759,MG,Pedro Leopoldo,12006,226
457919,MG,Pedro Teixeira,25,0
458079,MG,Pequeri,501,11
458239,MG,Pequi,608,10
458399,MG,Perdigão,2547,21
458559,MG,Perdizes,4720,31
458719,MG,Perdões,5701,50
458879,MG,Periquito,862,28
459039,MG,Pescador,880,6
459199,MG,Piau,437,15
459359,MG,Piedade de Caratinga,1532,26
459519,MG,Piedade de Ponte Nova,346,11
459679,MG,Piedade do Rio Grande,979,14
459839,MG,Piedade dos Gerais,83,9
459999,MG,Pimenta,2288,23
460159,MG,Pingo d'Água,620,15
460319,MG,Pintópolis,442,5
460479,MG,Piracema,117,19
460639,MG,Pirajuba,1278,29
460799,MG,Piranga,1567,38
460959,MG,Piranguçu,1395,18
461119,MG,Piranguinho,2035,50
461279,MG,Pirapetinga,5118,37
461439,MG,Pirapora,13203,117
461599,MG,Piraúba,2373,34
461759,MG,Pitangui,3666,115
461919,MG,Piumhi,11291,146
462079,MG,Planura,3163,53
462239,MG,Poço Fundo,5244,25
462399,MG,Poços de Caldas,34539,615
462559,MG,Pocrane,1117,15
462719,MG,Pompéu,6115,69
462879,MG,Ponte Nova,10939,228
463039,MG,Ponto Chique,664,16
463199,MG,Ponto dos Volantes,1081,25
463359,MG,Porteirinha,6165,81
463519,MG,Porto Firme,1300,17
463679,MG,Poté,1742,25
463839,MG,Pouso Alegre,45939,514
463999,MG,Pouso Alto,1700,29
464159,MG,Prados,1496,22
464319,MG,Prata,6956,129
464479,MG,Pratápolis,2956,35
464639,MG,Pratinha,630,5
464799,MG,Presidente Bernardes,774,11
464959,MG,Presidente Juscelino,358,8
465119,MG,Presidente Kubitschek,481,8
465279,MG,Presidente Olegário,3313,39
465439,MG,Alto Jequitibá,1521,16
465599,MG,Prudente de Morais,938,25
465759,MG,Quartel Geral,459,5
465919,MG,Queluzito,442,5
466079,MG,Raposos,4762,49
466239,MG,Raul Soares,4694,69
466399,MG,Recreio,1908,25
466559,MG,Reduto,815,17
466719,MG,Resende Costa,1737,23
466879,MG,Resplendor,3525,79
467039,MG,Ressaquinha,984,11
467199,MG,Riachinho,1756,12
467359,MG,Riacho dos Machados,905,8
467519,MG,Ribeirão das Neves,32060,954
467679,MG,Ribeirão Vermelho,1201,14
467839,MG,Rio Acima,2121,33
467999,MG,Rio Casca,1863,53
468159,MG,Rio Doce,496,10
468319,MG,Rio do Prado,743,8
468479,MG,Rio Espera,654,14
468639,MG,Rio Manso,1162,11
468799,MG,Rio Novo,699,30
468959,MG,Rio Paranaíba,3949,35
469119,MG,Rio Pardo de Minas,1951,11
469279,MG,Rio Piracicaba,3635,31
469439,MG,Rio Pomba,1063,46
469599,MG,Rio Preto,1452,7
469759,MG,Rio Vermelho,1187,9
469919,MG,Ritápolis,1056,15
470079,MG,Rochedo de Minas,268,4
470239,MG,Rodeiro,1640,21
470399,MG,Romaria,3013,11
470559,MG,Rosário da Limeira,405,7
470719,MG,Rubelita,667,4
470879,MG,Rubim,2211,27
471039,MG,Sabará,15394,278
471199,MG,Sabinópolis,1661,27
471359,MG,Sacramento,10534,91
471519,MG,Salinas,6449,65
471679,MG,Salto da Divisa,964,21
471839,MG,Santa Bárbara,7750,60
471999,MG,Santa Bárbara do Leste,977,32
472159,MG,Santa Bárbara do Monte Verde,550,13
472319,MG,Santa Bárbara do Tugúrio,481,8
472479,MG,Santa Cruz de Minas,2469,25
472639,MG,Santa Cruz de Salinas,292,3
472799,MG,Santa Cruz do Escalvado,758,9
472959,MG,Santa Efigênia de Minas,1000,12
473119,MG,Santa Fé de Minas,418,4
473279,MG,Santa Helena de Minas,1255,7
473439,MG,Santa Juliana,1935,52
473599,MG,Santa Luzia,20359,595
473759,MG,Santa Margarida,1625,43
473919,MG,Santa Maria de Itabira,2019,45
474079,MG,Santa Maria do Salto,1013,20
474239,MG,Santa Maria do Suaçuí,1462,33
474399,MG,Santana da Vargem,1365,14
474559,MG,Santana de Cataguases,1576,9
474719,MG,Santana de Pirapama,990,22
474879,MG,Santana do Deserto,727,18
475039,MG,Santana do Garambéu,340,5
475199,MG,Santana do Jacaré,1178,11
475359,MG,Santana do Manhuaçu,1728,19
475519,MG,Santana do Paraíso,7993,128
475679,MG,Santana do Riacho,1207,7
475839,MG,Santana dos Montes,306,0
475999,MG,Santa Rita de Caldas,1942,38
476159,MG,Santa Rita de Jacutinga,1388,13
476319,MG,Santa Rita de Minas,1036,17
476479,MG,Santa Rita de Ibitipoca,645,4
476639,MG,Santa Rita do Itueto,1354,14
476799,MG,Santa Rita do Sapucaí,8779,87
476959,MG,Santa Rosa da Serra,1211,6
477119,MG,Santa Vitória,8782,78
477279,MG,Santo Antônio do Amparo,2475,23
477439,MG,Santo Antônio do Aventureiro,1275,21
477599,MG,Santo Antônio do Grama,836,10
477759,MG,Santo Antônio do Itambé,406,1
477919,MG,Santo Antônio do Jacinto,1474,15
478079,MG,Santo Antônio do Monte,7450,101
478239,MG,Santo Antônio do Retiro,607,1
478399,MG,Santo Antônio do Rio Abaixo,135,5
478559,MG,Santo Hipólito,445,6
478719,MG,Santos Dumont,8094,161
478879,MG,São Bento Abade,882,10
479039,MG,São Brás do Suaçuí,925,8
479199,MG,São Domingos das Dores,1064,13
479359,MG,São Domingos do Prata,3435,30
479519,MG,São Félix de Minas,420,7
479679,MG,São Francisco,3567,81
479839,MG,São Francisco de Paula,1196,15
479999,MG,São Francisco de Sales,1629,38
480159,MG,São Francisco do Glória,766,10
480319,MG,São Geraldo,1056,30
480479,MG,São Geraldo da Piedade,597,15
480639,MG,São Geraldo do Baixio,484,7
480799,MG,São Gonçalo do Abaeté,1220,17
480959,MG,São Gonçalo do Pará,591,30
481119,MG,São Gonçalo do Rio Abaixo,2909,31
481279,MG,São Gonçalo do Sapucaí,6273,78
481439,MG,São Gotardo,8979,109
481599,MG,São João Batista do Glória,2467,35
481759,MG,São João da Lagoa,661,5
481919,MG,São João da Mata,933,12
482079,MG,São João da Ponte,729,33
482239,MG,São João das Missões,514,7
482399,MG,São João del Rei,21110,270
482559,MG,São João do Manhuaçu,1313,33
482719,MG,São João do Manteninha,1067,18
482879,MG,São João do Oriente,1289,36
483039,MG,São João do Pacuí,224,3
483199,MG,São João do Paraíso,2956,27
483359,MG,São João Evangelista,1846,27
483519,MG,São João Nepomuceno,5018,55
483679,MG,São Joaquim de Bicas,2968,123
483839,MG,São José da Barra,1876,20
483999,MG,São José da Lapa,5289,47
484159,MG,São José da Safira,574,14
484319,MG,São José da Varginha,358,1
484479,MG,São José do Alegre,537,8
484639,MG,São José do Divino,399,4
484799,MG,São José do Goiabal,886,19
484959,MG,São José do Jacuri,769,4
485119,MG,São José do Mantimento,350,3
485279,MG,São Lourenço,15155,185
485439,MG,São Miguel do Anta,1177,15
485599,MG,São Pedro da União,1007,11
485759,MG,São Pedro dos Ferros,933,17
485919,MG,São Pedro do Suaçuí,555,12
486079,MG,São Romão,940,8
486239,MG,São Roque de Minas,1930,22
486399,MG,São Sebastião da Bela Vista,1258,16
486559,MG,São Sebastião da Vargem Alegre,205,6
486719,MG,São Sebastião do Anta,694,15
486879,MG,São Sebastião do Maranhão,1138,4
487039,MG,São Sebastião do Oeste,930,17
487199,MG,São Sebastião do Paraíso,15438,337
487359,MG,São Sebastião do Rio Preto,253,2
487519,MG,São Sebastião do Rio Verde,606,4
487679,MG,São Tiago,2386,20
487839,MG,São Tomás de Aquino,1489,33
487999,MG,São Tomé das Letras,1479,9
488159,MG,São Vicente de Minas,943,11
488319,MG,Sapucaí-Mirim,1940,7
488479,MG,Sardoá,1070,11
488639,MG,Sarzedo,4624,85
488799,MG,Setubinha,846,6
488959,MG,Sem-Peixe,284,7
489119,MG,Senador Amaral,1697,11
489279,MG,Senador Cortes,606,5
489439,MG,Senador Firmino,1911,14
489599,MG,Senador José Bento,466,6
489759,MG,Senador Modestino Gonçalves,518,8
489919,MG,Senhora de Oliveira,702,10
490079,MG,Senhora do Porto,430,2
490239,MG,Senhora dos Remédios,1023,18
490399,MG,Sericita,1111,6
490559,MG,Seritinga,412,4
490719,MG,Serra Azul de Minas,319,0
490879,MG,Serra da Saudade,159,0
491039,MG,Serra dos Aimorés,869,10
491199,MG,Serra do Salitre,3071,52
491359,MG,Serrania,1533,27
491519,MG,Serranópolis de Minas,431,2
491679,MG,Serranos,367,1
491839,MG,Serro,2319,24
491999,MG,Sete Lagoas,48036,731
492159,MG,Silveirânia,268,3
492319,MG,Silvianópolis,1187,13
492479,MG,Simão Pereira,519,13
492639,MG,Simonésia,2843,49
492799,MG,Sobrália,678,23
492959,MG,Soledade de Minas,1214,11
493119,MG,Tabuleiro,605,15
493279,MG,Taiobeiras,5797,46
493439,MG,Taparuba,1066,10
493599,MG,Tapira,1206,9
493759,MG,Tapiraí,84,4
493919,MG,Taquaraçu de Minas,600,10
494079,MG,Tarumirim,583,51
494239,MG,Teixeiras,2291,34
494399,MG,Teófilo Otoni,20189,382
494559,MG,Timóteo,18139,370
494719,MG,Tiradentes,2383,24
494879,MG,Tiros,1281,19
495039,MG,Tocantins,2699,61
495199,MG,Tocos do Moji,1497,10
495359,MG,Toledo,1613,34
495519,MG,Tombos,1483,21
495679,MG,Três Corações,21409,315
495839,MG,Três Marias,6170,91
495999,MG,Três Pontas,13138,191
496159,MG,Tumiritinga,1057,20
496319,MG,Tupaciguara,6152,138
496479,MG,Turmalina,4207,27
496639,MG,Turvolândia,1906,17
496799,MG,Ubá,27662,378
496959,MG,Ubaí,1157,2
497119,MG,Ubaporanga,2790,44
497279,MG,Uberaba,106309,1655
497439,MG,Uberlândia,245152,3546
497599,MG,Umburatiba,303,4
497759,MG,Unaí,29367,322
497919,MG,União de Minas,793,11
498079,MG,Uruana de Minas,877,6
498239,MG,Urucânia,1452,33
498399,MG,Urucuia,989,8
498559,MG,Vargem Alegre,589,19
498719,MG,Vargem Bonita,615,4
498879,MG,Vargem Grande do Rio Pardo,754,7
499039,MG,Varginha,36714,451
499199,MG,Varjão de Minas,1704,17
499359,MG,Várzea da Palma,7428,102
499519,MG,Varzelândia,1093,37
499679,MG,Vazante,5555,77
499839,MG,Verdelândia,792,9
499999,MG,Veredinha,667,1
500159,MG,Veríssimo,899,11
500319,MG,Vermelho Novo,532,14
500479,MG,Vespasiano,13731,246
500639,MG,Viçosa,19739,166
500799,MG,Vieiras,687,7
500959,MG,Mathias Lobato,601,14
501119,MG,Virgem da Lapa,1148,11
501279,MG,Virgínia,1818,13
501439,MG,Virginópolis,1523,13
501599,MG,Virgolândia,871,14
501759,MG,Visconde do Rio Branco,8587,143
501919,MG,Volta Grande,2433,17
502079,MG,Wenceslau Braz,583,8
502399,ES,Afonso Cláudio,8718,89
502559,ES,Águia Branca,4161,68
502719,ES,Água Doce do Norte,2905,50
502879,ES,Alegre,9467,94
503039,ES,Alfredo Chaves,5652,49
503199,ES,Alto Rio Novo,1655,29
503359,ES,Anchieta,12191,119
503519,ES,Apiacá,2753,42
503679,ES,Aracruz,41308,287
503839,ES,Atílio Vivacqua,3543,40
503999,ES,Baixo Guandu,11159,108
504159,ES,Barra de São Francisco,13084,268
504319,ES,Boa Esperança,5425,58
504479,ES,Bom Jesus do Norte,3089,33
504639,ES,Brejetuba,3198,22
504799,ES,Cachoeiro de Itapemirim,61493,757
504959,ES,Cariacica,103490,1632
505119,ES,Castelo,15038,153
505279,ES,Colatina,52940,415
505439,ES,Conceição da Barra,7456,81
505599,ES,Conceição do Castelo,3557,35
505759,ES,Divino de São Lourenço,1029,15
505919,ES,Domingos Martins,12416,98
506079,ES,Dores do Rio Preto,1771,15
506239,ES,Ecoporanga,7688,96
506399,ES,Fundão,7545,81
506559,ES,Governador Lindenberg,5214,35
506719,ES,Guaçuí,7370,137
506879,ES,Guarapari,33383,535
507039,ES,Ibatiba,8097,121
507199,ES,Ibiraçu,5029,51
507359,ES,Ibitirama,1760,21
507519,ES,Iconha,6268,30
507679,ES,Irupi,3580,54
507839,ES,Itaguaçu,5715,32
507999,ES,Itapemirim,11123,180
508159,ES,Itarana,4399,30
508319,ES,Iúna,6959,98
508479,ES,Jaguaré,9624,63
508639,ES,Jerônimo Monteiro,5390,59
508799,ES,João Neiva,7071,62
508959,ES,Laranja da Terra,3823,19
509119,ES,Linhares,64666,518
509279,ES,Mantenópolis,2653,57
509439,ES,Marataízes,14966,250
509599,ES,Marechal Floriano,7876,72
509759,ES,Marilândia,6576,38
509919,ES,Mimoso do Sul,7599,79
510079,ES,Montanha,5865,77
510239,ES,Mucurici,1741,11
510399,ES,Muniz Freire,5844,58
510559,ES,Muqui,6122,66
510719,ES,Nova Venécia,17145,161
510879,ES,Pancas,5983,37
511039,ES,Pedro Canário,6310,72
511199,ES,Pinheiros,8025,108
511359,ES,Piúma,7540,106
511519,ES,Ponto Belo,2480,18
511679,ES,Presidente Kennedy,4537,61
511839,ES,Rio Bananal,6561,44
511999,ES,Rio Novo do Sul,3934,38
512159,ES,Santa Leopoldina,3570,30
512319,ES,Santa Maria de Jetibá,14621,80
512479,ES,Santa Teresa,11986,81
512639,ES,São Domingos do Norte,4266,25
512799,ES,São Gabriel da Palha,17584,98
